site,cz_data
CVCLE00357A,use2mk001
STEMO00037A,use2mk011-02
ORTPA00511A,use1mk003
CHIND00275B,use2mk002
NYNYC01604B,use1mk011-02
STSTL00027A,use2mk003
NYNYC01476C,use1mk002
CHCHI00702A,use2mk002
NAOWB00031C,use2mk003
NYNYC01330D,use1mk002
DADAL00388A,use2mk002
CLGSP00198A,use1mk001
SCSAC00176C,usw2mk011-02
SEGEG00163A,usw2mk001
AUAUS00374A,use2mk011-02
CLCLT00094A,use1mk001
NYNYC01450B,use1mk002
CLCHS00053A,use1mk011-04
ATATL00180A,use1mk001
BOBOS00977A,use1mk002
STEMO00011B,use2mk011-02
DNDEN00247B,usw2mk001
NJJER01925B,use1mk011-03
KNTYS00150A,use1mk002
CVCLE00477A,use2mk001
LALAX04066A,usw2mk011-01
ATSAV00037A,use1mk001
CHCHI00692A,use2mk002
STSTL00147A,use2mk003
SCMCA00039A,usw2mk001
BOHVN00028A,use1mk011-01
PHPHL00186A,use1mk011-03
LSSNA03083B,usw2mk011-02
SDSAN00462B,usw2mk001
SFSFO00492A,usw2mk011-01
ORMCO00576A,use1mk003
DALBB00020A,use2mk011-02
RIRIC00112A,use1mk002
CLCLT00104A,use1mk001
SESEA00073B,usw2mk011-02
KNTYS00030A,use1mk002
JKRLA00401A,use2mk004
NASDF00113A,use2mk003
PHHAR00008A,use1mk001
SDLAS00119C,usw2mk001
PHPHL00068A,use1mk001
CLGSP00208A,use1mk001
ORTPA00261B,use1mk003
SLBOI00033A,usw2mk001
DADAL00518A,use2mk002
RIRIC00378A,use1mk002
AUAUS00254A,use2mk004
DNDEN00091B,usw2mk001
NJJER01805B,use1mk011-03
CVCRW00083A,use2mk001
JKMSY00058A,use2mk004
ORTPA00381A,use1mk003
