SITE_ID,RAN_SW_VENDOR,CUSTOM_K8_ID_CUS,CUSTOM_GNODEB_NAME,CUSTOM_GNODEB_SITE_NUMBER,CUSTOM_K8_ID_DUS
LALAX04035B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,1,6
LALAX04037A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,2,7
LALAX04038A,Samsung,,LALAX731015,3,8
LALAX04038C,Samsung,nan,LALAX731015,3,2
LALAX04039B,Samsung,nan,LALAX731011,3,10
LALAX04040B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,1,10
LALAX04041A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,2,4
LALAX04041B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04043A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,1,10
LALAX04044A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,2,5
LALAX04045A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,3,4
LALAX04046A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,2,9
LALAX04047A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,4,7
LALAX04048A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,3,5
LALAX04049A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,2,4
LALAX04050A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,2,7
LALAX04051A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,1,10
LALAX04053B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-04,LALAX741021,35,7
LALAX04054B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,3,3
LALAX04055A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,3,10
LALAX04056A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731007,3,2
LALAX04057A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,3,10
LALAX04058A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,2,10
LALAX04059A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731012,2,8
LALAX04060B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,4,6
LALAX04061A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,4,6
LALAX04062B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,5,6
LALAX04063B,Samsung,nan,LALAX731021,3,1
LALAX04064B,Samsung,nan,LALAX731010,3,2
LALAX04066A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,8,9
LALAX04067B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,5,3
LALAX04068C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,9,10
LALAX04069A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,3,2
LALAX04070A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,6,5
LALAX04070B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,6,4
LALAX04071A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,4,5
LALAX04072A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731007,4,1
LALAX04073B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,5,7
LALAX04074A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,4,10
LALAX04075C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,5,7
LALAX04075D,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,5,7
LALAX04076B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,4,7
LALAX04077B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,4,1
LALAX04078C,Samsung,nan,,,
LALAX04078D,Samsung,nan,LALAX731011,4,5
LALAX04078E,Samsung,nan,,,
LALAX04079B,Samsung,nan,LALAX731012,3,3
LALAX04080A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,5,5
LALAX04081A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,6,5
LALAX04082B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,4,7
LALAX04082C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04083A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,4,8
LALAX04084A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731012,4,3
LALAX04085A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,3,11
